Task: condition | classes: ['Formalin-mixed', 'Fresh', 'Rotten']
Model params: 5,241,091
Args: {'task': 'condition', 'image_size': 224, 'batch_size': 32, 'epochs': 120, 'lr': 0.0003, 'weight_decay': 0.0003, 'label_smoothing': 0.1, 'dropout': 0.5, 'mixup_alpha': 0.2, 'use_aux_head': False, 'aux_weight': 0.3, 'num_workers': 4, 'seed': 42}

[113/120] train loss 0.4936 acc 65.4% | valid loss 0.8065 acc 72.8% | lr 1.00e-06
[114/120] train loss 0.5042 acc 68.8% | valid loss 0.7532 acc 75.4% | lr 1.00e-06
[115/120] train loss 0.4962 acc 64.5% | valid loss 0.7996 acc 73.1% | lr 1.00e-06
[116/120] train loss 0.5049 acc 63.2% | valid loss 0.8041 acc 72.4% | lr 1.00e-06
[117/120] train loss 0.5212 acc 60.8% | valid loss 0.7625 acc 74.0% | lr 1.00e-06
[118/120] train loss 0.4942 acc 69.0% | valid loss 0.7772 acc 73.8% | lr 1.00e-06
[119/120] train loss 0.4897 acc 64.5% | valid loss 0.7888 acc 73.6% | lr 1.00e-06
[120/120] train loss 0.4868 acc 65.8% | valid loss 0.8095 acc 71.6% | lr 1.00e-06

Saved training curves to C:\Users\kevol\Desktop\AI_Project\AI_Project\reports\figures\training_curves_condition.png

Best valid accuracy: 75.4% (epoch 114/120)
Per-class valid metrics (best epoch, 114):
  class                            recall  precision       f1
  Formalin-mixed                    67.2%      66.9%    67.1%
  Fresh                             65.4%      68.9%    67.1%
  Rotten                            95.6%      90.5%    93.0%

Test accuracy: 80.5%
Per-class test metrics:
  class                            recall  precision       f1
  Formalin-mixed                    73.8%      77.8%    75.8%
  Fresh                             82.2%      72.1%    76.8%
  Rotten                            87.2%      96.3%    91.5%
